Date,Value,YesterDay,TimeValue,HighValue,LowValue,Volumn
2019.07.29,46100.0,1050.0,46800.0,47050.0,46000.0,6856846.0
2019.07.30,46550.0,450.0,46300.0,46850.0,46300.0,5551014.0
2019.07.31,45350.0,1200.0,46200.0,46600.0,45000.0,12872916.0
2019.08.01,45200.0,150.0,44900.0,45500.0,44850.0,7811181.0
2019.08.02,44950.0,250.0,44550.0,45500.0,44300.0,12151374.0
2019.08.05,43950.0,1000.0,44350.0,44600.0,43600.0,14214086.0
2019.08.06,43500.0,450.0,42500.0,43800.0,42500.0,15083824.0
2019.08.07,43200.0,300.0,43600.0,43900.0,43100.0,10002533.0
2019.08.08,42650.0,550.0,43250.0,43500.0,42650.0,16926881.0
2019.08.09,43150.0,500.0,43250.0,43350.0,43050.0,9076689.0
